term	gene_set_size	background_size	overlap_count	foreground_annotated	overlap_genes	fold_enrichment	pvalue	p_adjust	neglog10p	neglog10padj
Chemokine-Mediated Signaling Pathway (GO:0070098)	57	14350	1	15	CXCL13	16.78362573099415	0.057980900497345736	0.10146657587035504	1.2367150439311545	0.9936769952448601
Positive Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901030)	10	14350	1	15	GZMB	95.66666666666667	0.010407178147445448	0.10146998693759311	1.982667011231462	0.9936623955329251
Cellular Response To Chemokine (GO:1990869)	59	14350	1	15	CXCL13	16.21468926553672	0.05995716380068421	0.10166649514029062	1.2221589191000268	0.9928221480911205
Regulation Of Phagocytosis (GO:0050764)	58	14350	1	15	IFNG	16.49425287356322	0.05896951635773472	0.10189036687127583	1.229372434101596	0.9918668740152624
Positive Regulation Of Proteolysis (GO:0045862)	59	14350	1	15	IFNG	16.21468926553672	0.05995716380068421	0.10230191073491743	1.2221589191000268	0.9901162547151956
Positive Regulation Of Phagocytosis (GO:0050766)	60	14350	1	15	IFNG	15.944444444444445	0.060943843707128104	0.10270166254349367	1.2150701584468935	0.9884225259487683
Regulation Of Tumor Necrosis Factor Production (GO:0032680)	127	14350	2	15	HAVCR2;IFNG	15.065616797900262	0.007567254473329018	0.1032930235609411	2.121061661234715	0.9859290098579404
Positive Regulation Of Cellular Respiration (GO:1901857)	10	14350	1	15	IFNG	95.66666666666667	0.010407178147445448	0.10522813460194841	1.982667011231462	0.9778681283496932
Regulation Of T Cell Activation (GO:0050863)	62	14350	1	15	TIGIT	15.43010752688172	0.06291430443053661	0.10537181048795395	1.2012506005171246	0.9772755578803264
Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)	65	14350	1	15	CXCL13	14.717948717948717	0.06586276097269972	0.10702698658063706	1.1813600675798481	0.970506702264955
